Objectid,Year,Metro,Cbsa,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
144,2006,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2530045,2663802,133757,0.050212816,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
145,2006,Bay Area,Bay Area,3365608,3515319,149711,0.042588169,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
146,2006,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4554283,4773440,219157,0.045911753,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
147,2006,Dallas,"Dallas-Fort Worth-Arlington, TX",2935858,3085267,149409,0.048426603,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
148,2006,Houston,"Houston-Sugar Land-Baytown, TX",2526751,2661423,134672,0.050601502,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
149,2006,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2705093,2770230,65137,0.02351321,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
150,2006,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9160574,9590832,430258,0.044861384,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
151,2006,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2815087,2951009,135922,0.0460595,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
152,2006,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2870618,2971345,100727,0.033899463,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
153,2007,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2604959,2737087,132128,0.048273219,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
154,2007,Bay Area,Bay Area,3421246,3580780,159534,0.044552863,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
155,2007,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4621873,4866365,244492,0.050241196,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
156,2007,Dallas,"Dallas-Fort Worth-Arlington, TX",2974547,3109495,134948,0.043398687,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
157,2007,Houston,"Houston-Sugar Land-Baytown, TX",2589040,2705295,116255,0.042973132,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
158,2007,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2760513,2845123,84610,0.029738609,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
159,2007,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9210970,9625783,414813,0.043093949,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
160,2007,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2830973,2961694,130721,0.04413724,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
161,2007,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2909586,3005389,95803,0.031877071,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
162,2008,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2583907,2768358,184451,0.066628305,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
163,2008,Bay Area,Bay Area,3444174,3658628,214454,0.058615962,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
164,2008,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4591093,4900859,309766,0.063206471,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
165,2008,Dallas,"Dallas-Fort Worth-Arlington, TX",2994638,3150114,155476,0.049355674,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
166,2008,Houston,"Houston-Sugar Land-Baytown, TX",2640498,2772403,131905,0.047577859,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
167,2008,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2705840,2847660,141820,0.049802294,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
168,2008,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9255212,9773395,518183,0.053019754,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
169,2008,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2844167,3004801,160634,0.053459114,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
170,2008,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2948734,3069341,120607,0.039294103,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
171,2009,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2441233,2725091,283858,0.104164595,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
172,2009,Bay Area,Bay Area,3316380,3689580,373200,0.101149724,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
173,2009,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4374772,4870470,495698,0.101776215,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
174,2009,Dallas,"Dallas-Fort Worth-Arlington, TX",2947765,3195892,248127,0.077639357,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
175,2009,Houston,"Houston-Sugar Land-Baytown, TX",2625231,2839444,214213,0.075441882,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
176,2009,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2519657,2770194,250537,0.090440236,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
177,2009,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8973615,9818071,844456,0.086010378,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
178,2009,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2749653,2996434,246781,0.08235823,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
179,2009,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2896741,3090985,194244,0.062842104,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
180,2010,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2443058,2727457,284399,0.104272588,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
181,2010,Bay Area,Bay Area,3370053,3764311,394258,0.104735767,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
182,2010,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4348556,4866599,518043,0.106448672,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
183,2010,Dallas,"Dallas-Fort Worth-Arlington, TX",3037081,3305522,268441,0.081209866,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
184,2010,Houston,"Houston-Sugar Land-Baytown, TX",2727403,2974795,247392,0.083162705,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
185,2010,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2494623,2798503,303880,0.108586626,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
186,2010,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8960462,9847871,887409,0.090111761,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
187,2010,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2754055,3015433,261378,0.086680089,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
188,2010,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2947955,3154587,206632,0.065502077,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
189,2011,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2484286,2754683,270397,0.098159026,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
190,2011,Bay Area,Bay Area,3433161,3796230,363069,0.095639358,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
191,2011,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4356254,4840527,484273,0.100045512,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
192,2011,Dallas,"Dallas-Fort Worth-Arlington, TX",3109349,3372852,263503,0.078124685,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
193,2011,Houston,"Houston-Sugar Land-Baytown, TX",2794837,3040022,245185,0.080652377,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
194,2011,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2581120,2857067,275947,0.096584014,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
195,2011,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",8976584,9824717,848133,0.086326456,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
196,2011,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2768201,3021795,253594,0.083921643,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
197,2011,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3001024,3197939,196915,0.061575596,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
198,2012,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2540376,2781371,240995,0.086646118,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
199,2012,Bay Area,Bay Area,3545775,3861939,316164,0.081866648,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
200,2012,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4447374,4895428,448054,0.09152499,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
201,2012,Dallas,"Dallas-Fort Worth-Arlington, TX",3188765,3411857,223092,0.065387266,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
202,2012,Houston,"Houston-Sugar Land-Baytown, TX",2900976,3104630,203654,0.065596867,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
203,2012,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2663383,2900994,237611,0.081906753,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
204,2012,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9031310,9904527,873217,0.088163423,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
205,2012,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2788671,3041727,253056,0.083194843,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
206,2012,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3049860,3234610,184750,0.057116623,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
207,2013,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2570771,2786312,215541,0.077357094,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
208,2013,Bay Area,Bay Area,3634126,3896366,262240,0.067303739,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
209,2013,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4466499,4913720,447221,0.091014751,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
210,2013,Dallas,"Dallas-Fort Worth-Arlington, TX",3253995,3467275,213280,0.061512283,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
211,2013,Houston,"Houston-Sugar Land-Baytown, TX",2983316,3176138,192822,0.060709579,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
212,2013,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2699822,2915135,215313,0.073860387,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
213,2013,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9132081,9923209,791128,0.079725016,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
214,2013,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2795117,3025882,230765,0.076263714,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
215,2013,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3081172,3260090,178918,0.054881307,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
216,2014,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2614133,2804352,190219,0.06782993,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
217,2014,Bay Area,Bay Area,3740950,3955251,214301,0.054181391,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
218,2014,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4540603,4892730,352127,0.071969432,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
219,2014,Dallas,"Dallas-Fort Worth-Arlington, TX",3350325,3530240,179915,0.050963957,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
220,2014,Houston,"Houston-Sugar Land-Baytown, TX",3072718,3235027,162309,0.050172379,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
221,2014,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2778246,2967557,189311,0.063793551,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
222,2014,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9257712,9888987,631275,0.063836164,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
223,2014,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2829345,3018116,188771,0.062545972,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
224,2014,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3106413,3270370,163957,0.050134083,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
225,2015,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2650971,2814263,163292,0.058023006,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
226,2015,Bay Area,Bay Area,3850047,4026410,176363,0.04380155,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
227,2015,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4597498,4889785,292287,0.059775021,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
228,2015,Dallas,"Dallas-Fort Worth-Arlington, TX",3437008,3583846,146838,0.040972185,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
229,2015,Houston,"Houston-Sugar Land-Baytown, TX",3107962,3259346,151384,0.046446128,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
230,2015,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2814296,2980888,166592,0.055886702,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
231,2015,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9400566,9924203,523637,0.052763633,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
232,2015,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2879612,3045942,166330,0.054607081,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
233,2015,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3136814,3280003,143189,0.043655143,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
234,2016,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2788925,2941748,152823,0.051949725,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
235,2016,Bay Area,Bay Area,3928290,4089134,160844,0.03933449,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
236,2016,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4648894,4936636,287742,0.05828706,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
237,2016,Dallas,"Dallas-Fort Worth-Arlington, TX",3559384,3703129,143745,0.038817173,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
238,2016,Houston,"Houston-Sugar Land-Baytown, TX",3125997,3300461,174464,0.052860494,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
239,2016,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2872368,3024127,151759,0.050182747,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
240,2016,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9453503,9929145,475642,0.047903621,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
241,2016,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2920927,3075931,155004,0.050392548,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
242,2016,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3194358,3321551,127193,0.038293255,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
243,2017,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2924527,3064862,140335,0.045788358,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
244,2017,Bay Area,Bay Area,3981280,4121939,140659,0.034124474,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
245,2017,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4730600,4972280,241680,0.048605469,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
246,2017,Dallas,"Dallas-Fort Worth-Arlington, TX",3637295,3778245,140950,0.03730568,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
247,2017,Houston,"Houston-Sugar Land-Baytown, TX",3142202,3309344,167142,0.050506082,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
248,2017,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2943767,3079461,135694,0.044064205,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
249,2017,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9840257,10294517,454260,0.044126402,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
250,2017,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2971898,3120595,148697,0.047650208,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
251,2017,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3276258,3399862,123604,0.036355593,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
252,2018,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2962561,3081185,118624,0.038499473,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
253,2018,Bay Area,Bay Area,4027783,4144596,116813,0.028184412,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
254,2018,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4765930,4971822,205892,0.04141178,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
255,2018,Dallas,"Dallas-Fort Worth-Arlington, TX",3713687,3850735,137048,0.035590089,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
256,2018,Houston,"Houston-Sugar Land-Baytown, TX",3202853,3349172,146319,0.043688112,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
257,2018,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2985429,3100041,114612,0.036971124,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
258,2018,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9886911,10289802,402891,0.039154398,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
259,2018,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2998103,3132094,133991,0.042780006,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
260,2018,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3322137,3431957,109820,0.031999235,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
261,2019,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",3000845,3107501,106656,0.034322113,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
262,2019,Bay Area,Bay Area,4056729,4169299,112570,0.026999743,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
263,2019,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4793203,4986404,193201,0.038745557,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
264,2019,Dallas,"Dallas-Fort Worth-Arlington, TX",3798180,3927439,129259,0.032911778,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
265,2019,Houston,"Houston-Sugar Land-Baytown, TX",3257564,3386842,129278,0.038170662,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
266,2019,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",3045117,3138701,93584,0.029816156,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
267,2019,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",10012877,10382054,369177,0.035559149,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
268,2019,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3049911,3181231,131320,0.041279618,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
269,2019,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3394684,3500762,106078,0.030301403,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
270,2020,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",2853188,3060628,207440,0.06777694,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
271,2020,Bay Area,Bay Area,3699104,4026047,326943,0.081206951,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
272,2020,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4385669,4846844,461175,0.095149545,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
273,2020,Dallas,"Dallas-Fort Worth-Arlington, TX",3673336,3953748,280412,0.070923084,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
274,2020,Houston,"Houston-Sugar Land-Baytown, TX",3091352,3384095,292743,0.08650555,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
275,2020,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2757395,3008083,250688,0.083338126,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
276,2020,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9052297,10087336,1035039,0.102607765,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
277,2020,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2874707,3161932,287225,0.090838449,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
278,2020,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3200821,3419624,218803,0.06398452,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
279,2021,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",3009269,3132224,122955,0.039254855,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
280,2021,Bay Area,Bay Area,3766081,3982562,216481,0.05435722,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
281,2021,Chicago,"Chicago-Joliet-Naperville, IL-IN-WI MSA Area",4507352,4804091,296739,0.061767981,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
282,2021,Dallas,"Dallas-Fort Worth-Arlington, TX",3888279,4095480,207201,0.050592605,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
283,2021,Houston,"Houston-Sugar Land-Baytown, TX",3205107,3424496,219389,0.06406461,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
284,2021,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",2920924,3071325,150401,0.048969419,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
285,2021,New York,"New York-Northern New Jersey-Long Island, NY-NJ-PA",9284498,10016397,731899,0.073070087,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
286,2021,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2956181,3155078,198897,0.06304028,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
287,2021,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3191706,3355512,163806,0.048816991,"U.S. Bureau of Labor Statistics, Local Area Unemployment Statistics (LAUS)"
